track_id,track_name,track_artist,playlist_genre,energy,key,valence,acousticness,speechiness
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,pop,0.821,7,0.232,0.00791,0.0934
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,pop,0.934,6,0.204,0.00292,0.0446
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,pop,0.913,9,0.707,0.089,0.0348
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,pop,0.818,4,0.336,0.0469,0.128
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,pop,0.85,1,0.372,0.114,0.0444
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,pop,0.889,11,0.422,0.0163,0.0352
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,pop,0.76,11,0.468,0.104,0.0434
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,pop,0.851,1,0.348,0.0146,0.0363
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,pop,0.905,1,0.397,0.0325,0.0511
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,pop,0.938,6,0.371,0.00432,0.0517
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,pop,0.909,1,0.819,0.0334,0.105
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,pop,0.869,11,0.358,0.0319,0.0423
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,pop,0.814,0,0.503,0.107,0.0841
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,pop,0.837,11,0.643,0.0103,0.0389
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,pop,0.864,0,0.727,0.00141,0.0976
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,pop,0.815,10,0.351,0.108,0.0533
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,pop,0.831,1,0.894,0.0823,0.115
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,pop,0.833,5,0.793,0.126,0.0511
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,pop,0.854,0,0.659,0.0382,0.0432
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,pop,0.81,2,0.495,0.00522,0.0522
5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,pop,0.815,11,0.681,0.00223,0.046
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,Charli XCX,pop,0.773,5,0.586,0.0141,0.0473
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,pop,0.678,8,0.404,0.0154,0.0324
2tilX6FUl0IwFgiOYjuc6V,Unlove You,Armin van Buuren,pop,0.928,3,0.663,0.0303,0.0597
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,pop,0.453,0,0.68,0.252,0.295
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,Ava Max,pop,0.931,1,0.288,0.132,0.0606
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,Sia,pop,0.859,5,0.442,0.000609,0.0636
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,pop,0.893,10,0.41,0.0538,0.168
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,Charli XCX,pop,0.838,6,0.587,0.0588,0.0416
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,Estelle,pop,0.764,5,0.531,0.0994,0.111
08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,Bastille,pop,0.992,4,0.479,0.0832,0.0585
1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),for KING & COUNTRY,pop,0.81,0,0.48,0.0917,0.0572
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,pop,0.956,1,0.12,0.000609,0.0343
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,Lil Nas X,pop,0.771,6,0.297,0.00407,0.0576
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,Starley,pop,0.821,10,0.394,0.017,0.0472
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,pop,0.697,3,0.225,0.186,0.0372
2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,pop,0.789,5,0.169,0.0148,0.165
3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,Why Don't We,pop,0.84,0,0.509,0.0336,0.0419
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,Olympis,pop,0.5,8,0.119,0.415,0.0511
5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,pop,0.84,6,0.461,0.00486,0.0373
6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,Smash Mouth,pop,0.903,3,0.751,0.0324,0.0385
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,SHAED,pop,0.955,7,0.501,0.0163,0.102
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,pop,0.995,9,0.664,0.0921,0.0487
1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,Kaskade,pop,0.786,1,0.47,0.119,0.132
4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,pop,0.801,5,0.292,0.0204,0.0301
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,pop,0.862,2,0.453,0.0611,0.0944
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid,pop,0.867,4,0.565,0.0158,0.204
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,Herve Pagez,pop,0.838,11,0.959,0.001,0.0763
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,pop,0.779,8,0.459,0.0357,0.0387
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,James Arthur,pop,0.783,6,0.289,0.00515,0.154
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,pop,0.83,6,0.604,0.201,0.0793
05CwHjIk71RXVU40boRMnR,Call You Mine,The Chainsmokers,pop,0.702,7,0.501,0.225,0.0289
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,pop,0.642,7,0.651,0.0771,0.122
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello,pop,0.565,5,0.181,0.0623,0.0439
6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,5 Seconds of Summer,pop,0.747,5,0.717,0.0728,0.0584
4PkIDTPGedm0enzdvilLNd,Sixteen,Ellie Goulding,pop,0.801,8,0.541,0.268,0.136
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,pop,0.882,8,0.385,0.194,0.0602
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,pop,0.788,0,0.234,0.00968,0.0364
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),NOTD,pop,0.864,0,0.659,0.0856,0.208
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,pop,0.858,5,0.491,0.22,0.0404
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,pop,0.505,3,0.357,0.12,0.042
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,Zara Larsson,pop,0.799,6,0.5,0.18,0.0617
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),Jonas Blue,pop,0.8,1,0.553,0.289,0.05
1xK7enJZVdv37fnnxoZlPq,With You,Kaskade,pop,0.921,1,0.529,0.123,0.486
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),Gryffin,pop,0.83,8,0.486,0.0948,0.0369
6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo,pop,0.66,11,0.408,0.0292,0.0372
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,pop,0.699,11,0.585,0.423,0.0578
18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),NOTD,pop,0.725,6,0.605,0.0253,0.0563
3D37T7euWvVJ45evRmriIh,Better With You,3LAU,pop,0.752,3,0.25,0.0196,0.0293
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,pop,0.705,9,0.27,0.381,0.079
6XqvFyJGdUD5IWee02ARKU,Polaroid,Jonas Blue,pop,0.898,7,0.472,0.29,0.0361
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,pop,0.855,10,0.293,0.0911,0.215
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,pop,0.806,2,0.112,0.198,0.0496
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,Loud Luxury,pop,0.856,4,0.685,0.0812,0.0486
6nDKrPlXdpomGBgAlO7UdP,SOS,Avicii,pop,0.645,5,0.376,0.272,0.0715
2b1BwUGGyKq0CoJd8G1B6M,Harder,Jax Jones,pop,0.832,5,0.751,0.0909,0.0718
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,pop,0.657,7,0.437,0.171,0.0449
1lGVyEkGHUz7Pg78QGaS4a,Wanted,NOTD,pop,0.674,5,0.378,0.185,0.0723
6ksMjdec8b6C45TUawkAdu,Crash Into Me,Steve Aoki,pop,0.815,1,0.341,0.00246,0.0981
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),Gryffin,pop,0.76,0,0.523,0.16,0.0406
6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),ILLENIUM,pop,0.594,2,0.442,0.0128,0.0318
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,pop,0.881,9,0.234,0.296,0.147
1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,A R I Z O N A,pop,0.538,0,0.329,0.246,0.103
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,pop,0.758,7,0.387,0.0797,0.0864
7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,Starley,pop,0.69,1,0.652,0.109,0.0756
2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),Alesso,pop,0.693,0,0.55,0.0878,0.0361
4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,ayokay,pop,0.696,11,0.449,0.0563,0.0349
1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,ARTY,pop,0.899,5,0.408,0.0113,0.0458
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,pop,0.868,7,0.733,0.15,0.0291
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),Martin Garrix,pop,0.635,11,0.327,0.129,0.0326
0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),Gryffin,pop,0.707,2,0.479,0.22,0.0337
5l8AUgBTWuOECwVgYtaUyE,Endless Summer,Cashae,pop,0.719,4,0.326,0.048,0.0612
35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,pop,0.795,8,0.723,0.145,0.0489
3Kuu5vASpXK8oRsxOvau6P,Think About You,Kygo,pop,0.596,10,0.19,0.166,0.0354
7KW3XQV5Or5CF57MYVj5h4,Party For One,Carly Rae Jepsen,pop,0.633,6,0.458,0.0453,0.0362
3M9Apu4OZfylLTFKvgEtKa,Ritual,Tiësto,pop,0.726,3,0.767,0.157,0.0552
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,pop,0.67,0,0.505,0.0104,0.0473
6QcrReLyoun4xrPVsZ5OJE,Lie,Shallou,pop,0.427,2,0.224,0.295,0.0799
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),benny blanco,pop,0.865,6,0.362,0.0264,0.0438
5cE201rNvIkryS8N1dJ5nR,Now That I Found You,Carly Rae Jepsen,pop,0.737,0,0.574,0.0145,0.0476
4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,R3HAB,pop,0.763,4,0.516,0.524,0.0882
48GmVZwvkoVC5StfMLfNJE,Need U,DVBBS,pop,0.705,10,0.471,0.292,0.0995
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,pop,0.938,5,0.601,0.0257,0.35
6BwClo5W3VvTzJv8bvZXDD,Something Real,Armin van Buuren,pop,0.808,1,0.232,0.0446,0.0439
108r6pnZHStBIktpyyps9w,TIME,Alesso,pop,0.808,5,0.664,0.00627,0.112
24Hzd4FPhz0HPx9jhM9cap,Something About You (with Rudimental),Elderbrook,pop,0.605,6,0.657,0.559,0.188
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),Martin Garrix,pop,0.612,8,0.236,0.0655,0.0307
0gIZLyF3MWQVcspzrLWYod,Simple (STVW Remix),FANNYPACK,pop,0.917,9,0.622,0.301,0.0633
6y1UtRcHQU07aUs3oxZ8Yn,Sorry,Joel Corry,pop,0.79,8,0.847,0.0547,0.0562
54z0kLF0skj0Hdb9wCqPJt,Spicy (with Diplo & Charli XCX),Herve Pagez,pop,0.818,8,0.484,0.0527,0.0533
6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),Lindsey Stirling,pop,0.856,2,0.351,0.00123,0.0717
6uBhi9gBXWjanegOb2Phh0,Stay,Zedd,pop,0.622,5,0.544,0.253,0.0622
1Pe3Tnahd3nNcKrTvNvNvW,Million Voices,Armin van Buuren,pop,0.869,3,0.185,0.0142,0.0529
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,pop,0.801,8,0.617,0.157,0.228
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,pop,0.524,8,0.661,0.414,0.0338
2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,ODESZA,pop,0.624,9,0.477,0.025,0.0451
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,pop,0.781,8,0.176,0.0398,0.072
6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),Clean Bandit,pop,0.636,11,0.565,0.0441,0.0437
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,pop,0.54,1,0.195,0.0895,0.0576
7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),Justin Bieber,pop,0.733,8,0.622,0.00402,0.0375
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),The Black Eyed Peas,pop,0.716,10,0.667,0.0334,0.0657
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Calvin Harris,pop,0.768,11,0.486,0.0119,0.0394
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,pop,0.828,11,0.517,0.0149,0.0396
6jq6rcOikCZAmjliAgAmfT,Light,San Holo,pop,0.763,1,0.43,0.0857,0.0573
762UXiwEHYY97VL45sAUPR,2U,David Guetta,pop,0.651,8,0.562,0.225,0.0594
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,pop,0.635,11,0.446,0.0498,0.0317
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,pop,0.862,9,0.592,0.037,0.11
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),Alesso,pop,0.748,5,0.356,0.0305,0.0619
12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),Kygo,pop,0.533,0,0.515,0.119,0.0706
4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,pop,0.677,5,0.248,0.248,0.0393
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,pop,0.716,8,0.163,0.0863,0.0349
3vv9phIu6Y1vX3jcqaGz5Z,Roses,The Chainsmokers,pop,0.802,4,0.343,0.0435,0.0561
2QtJA4gbwe1AcanB2p21aP,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,pop,0.738,8,0.461,0.109,0.0411
1BltsyC5W3SAABdxyrDXwi,Latch,Disclosure,pop,0.727,1,0.521,0.0159,0.167
3tTYxjYYcXFqFXA0AZ1Fav,Flames,David Guetta,pop,0.726,5,0.362,0.0723,0.0414
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,pop,0.76,0,0.41,0.0797,0.045
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,Calvin Harris,pop,0.928,9,0.465,0.199,0.0331
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,Avicii,pop,0.783,2,0.643,0.0038,0.0523
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,pop,0.77,6,0.163,0.176,0.149
0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),David Guetta,pop,0.787,0,0.301,0.0679,0.103
0n8ob8S72lvznoVfiwz4qL,Where Are Ü Now,Skrillex,pop,0.74,7,0.193,0.0342,0.062
4r6eNCsrZnQWJzzvFh4nlg,Firework,Katy Perry,pop,0.832,8,0.648,0.141,0.049
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),J Balvin,pop,0.716,11,0.469,0.0223,0.0818
1MlAkYV0nbRKWhhfvTt3zc,Don't You Worry Child - Radio Edit,Swedish House Mafia,pop,0.832,11,0.429,0.11,0.0522
1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,pop,0.832,0,0.7,0.0106,0.0682
7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,Ellie Goulding,pop,0.781,0,0.382,0.433,0.03
0WfKDYeUAoLA3vdvLKKWMW,Poker Face,Lady Gaga,pop,0.806,4,0.776,0.12,0.0786
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,pop,0.868,11,0.336,0.0389,0.0731
61ZM92T2zaXIVsqncThQzC,In Your Eyes (feat. Alida),Robin Schulz,pop,0.672,8,0.448,0.177,0.0723
6TnxdnJcZIwCWiCHq5Qds0,Wish You Well (with Sigala),Sigala,pop,0.89,5,0.568,0.122,0.0576
2aFAmDBycyEnj3lcS95JMe,With You - LöKii Remix,Kaskade,pop,0.727,9,0.512,0.0201,0.0389
0Npijoc6ZcUe1devUugKvI,Dive,Hot Shade,pop,0.787,4,0.409,0.00515,0.0502
5gwLIRjGFf3hXuHoKEsWLg,No Goodbye,Paul Kalkbrenner,pop,0.584,6,0.626,0.0955,0.044
3d4lc8esnUl7Bx9J9d9oty,Work,MOTi,pop,0.929,0,0.633,0.0395,0.0395
0U6bQIAh6MCGo1xjbIIx2S,Instagram,Dimitri Vegas & Like Mike,pop,0.906,8,0.95,0.125,0.0965
3oIVK7arAFuUOCGafPLxSC,Better Off Without You (feat. Shift K3Y),Becky Hill,pop,0.855,7,0.304,0.0566,0.0401
2I4jAMEOEUQD5V1byYCqNS,Butterfly,Molella,pop,0.662,7,0.596,0.0922,0.0349
59QmL8ygKtVfMHmPx3GaBX,All The Love You Got,MOTi,pop,0.736,7,0.248,0.135,0.0778
5EdYlCWou17k0N1PADLKfO,Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,pop,0.844,7,0.283,0.00407,0.0406
5MvsfUN0H79C24t3fPepeL,Love Is Not Enough,GATTÜSO,pop,0.816,8,0.134,0.00205,0.0349
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,pop,0.526,10,0.529,0.129,0.0415
1CW7tYkpJ95c7bQkRf6CcK,I Wanna Dance,Jonas Blue,pop,0.841,0,0.616,0.0906,0.135
4bSFPMXKYaCoBhzJv276zl,After The Landslide - Club Remix,Matt Simons,pop,0.731,6,0.46,0.0191,0.0352
5AFrctm65wWIqJsjHPPx85,Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,pop,0.899,0,0.329,0.00235,0.0685
3DsjHcLYMExprXJECT4QQP,Pon de Replay,Ed Marquis,pop,0.717,6,0.481,0.123,0.24
7FjZU7XFs7P9jHI9Z0yRhK,So Close,NOTD,pop,0.872,10,0.761,0.121,0.0666
5ijpy4l0nKZPIKHui6SQfE,Look Into My Eyes,Brando,pop,0.541,1,0.433,0.123,0.054
6j8eH9frh703HaGBaSRS6u,Not in Control,Glaceo,pop,0.633,0,0.492,0.203,0.0958
79Vz5MNH7Qe4F7hPKT8tPz,BLUE,Tiësto,pop,0.725,11,0.904,0.018,0.0303
65mOk4n0tfrMysFXu12ufx,Don't Waste My Time,Kharfi,pop,0.687,9,0.59,0.0528,0.211
4w5Grfxx5Rpup6mo5v6bW0,Beat Of My Heart,Lost Frequencies,pop,0.524,6,0.296,0.127,0.026
3uiQZlSlSDRduWLFBTSEot,Don't Start Now - Kungs Remix,Dua Lipa,pop,0.699,11,0.252,0.0352,0.27
29ikXeGM6kScvhvqfvgiwO,Drunken Truth,Steve Void,pop,0.745,1,0.498,0.0814,0.0374
2Eld7kejX6FH9OptVyKQak,Jacques,Jax Jones,pop,0.547,9,0.48,0.072,0.0748
3BOcWxFUURAomDXRSDFve4,Something Real,Armin van Buuren,pop,0.808,1,0.232,0.0446,0.0439
4YhN72dRYL2Z3MsaKyT7rS,Stay (Don't Go Away) [feat. Raye],David Guetta,pop,0.797,9,0.552,0.259,0.0624
7DQ5CZjAQdhgDgdnSXxJ7Z,Solid Gold,PNAU,pop,0.946,5,0.295,0.0978,0.0541
2aXA9aQfrqaOi1Wy3NfSZI,One Life,Mike Perry,pop,0.757,3,0.233,0.0997,0.0555
62XCV3AmCMkPa9X5mCim8O,All ‘Bout The Money,FAULHABER,pop,0.779,6,0.327,0.142,0.0606
5llPdGZJjJFJv9aL6ZaiLY,Never Letting Go,Audien,pop,0.765,1,0.117,0.0915,0.0338
7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),Martin Garrix,pop,0.693,4,0.392,0.458,0.0375
2W9pBY75aWOV39S73mqqbn,Giulia,Prince Paris,pop,0.923,0,0.37,0.00395,0.0364
1JxQmgCEipmHCUiJS568pE,What Do I Do? - Benny Benassi Remix,Georgia Ku,pop,0.827,10,0.611,0.429,0.0789
6pu5jQqenr37n0z6eBKOh0,Dreams Of You (feat. Rae Morris),Icarus,pop,0.965,6,0.148,0.00108,0.0348
3RBk0P36O7wCMxF263jRJL,I Will Let You Down (feat. KLARA),Madison Mars,pop,0.918,0,0.422,0.199,0.0684
4uRx3SdWG2cNVfRNVPwHDS,Carillon (with Achille Lauro),Nahaze,pop,0.562,9,0.244,0.062,0.15
3ZRgqoTb7pVO11IxcKGtMo,La Vie - Gabry Ponte Mix,DJ Ross,pop,0.88,4,0.482,0.0804,0.223
0DhkTGjEaIHaSxTfC14BFm,Lullaby,R3HAB,pop,0.8,1,0.258,0.0267,0.035
4nx4h17pRj1ikT0hZecR8z,Say It,Phantoms,pop,0.8,11,0.314,0.0209,0.0361
1tq4UL9BB7BHuT6eorlX3X,All This Time,Deorro,pop,0.857,2,0.233,0.167,0.321
4TIkSdsNSfqpuq6ZYvCjAz,All You Need To Know (feat. Calle Lehmann),Gryffin,pop,0.729,0,0.219,0.00699,0.0376
4P7F3kb2Ze1YleD6lUYwJo,Acordeão,Tiësto,pop,0.887,1,0.783,0.0457,0.147
3qeJ84Y6PRS9LtliOuT94Z,My Friend,Yves V,pop,0.911,2,0.197,0.0316,0.0594
7sYAS4CpbV90oSemgaEQat,On & On,Alok,pop,0.776,10,0.67,0.0233,0.0722
